databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side
69f4985c-33b2-4526-b750-aa3b64335dfb	Fire on the Eastemnet Rules	69f4985c-33b2-4526-b750-aa3b64335dfb.jpg	multi_sided	Rules	ALeP - Fire on the Eastemnet	1	4eff45c3-8435-438f-bbbf-633483645dc6	0.2	Fire on the Eastemnet														Page 1/8	Welcome to Fire on the Eastemnet, an unofficial fan Adventure Pack, developed by A Long-extended Party (ALeP). This expansion sees the heroes attempting to defeat a band of orcish horse thieves in the fields of Rohan. Component Overview The Fire on the Eastemnet Adventure Pack includes 70 cards, consisting of:  • 4 Rules Cards • 31 Encounter Cards  • 2 Hero Cards • 3 Quest Cards  • 30 Player Cards Web Resources You can check for any updates from A Long-extended Party at www.alongextendedparty.com. You can build decks and track your plays of these scenarios and others online through RingsDB at www.ringsdb.com. For general rules and definitions of common game terms, visit the Quest Companion at bit.ly/2MKkak9.		
69f4985c-33b2-4526-b750-aa3b64335dfb	Fire on the Eastemnet Rules	69f4985c-33b2-4526-b750-aa3b64335dfb.B.jpg	multi_sided	Rules	ALeP - Fire on the Eastemnet	1	4eff45c3-8435-438f-bbbf-633483645dc6	0.2	Fire on the Eastemnet																	
54329e02-76ff-4e12-b4d4-56b06532a0a7	Fire on the Eastemnet 1	54329e02-76ff-4e12-b4d4-56b06532a0a7.jpg	multi_sided	Rules	ALeP - Fire on the Eastemnet	1	4eff45c3-8435-438f-bbbf-633483645dc6	0.3	Fire on the Eastemnet														Page 2/8	Expansion Symbol The cards in the Oaths of the Rohirrim cycle can be identified by this symbol before each card’s collector number. Fire on the Eastemnet Difficulty level = 6 “So, it was Gálmód all along,” said one of the heroes. “Can’t say I’m surprised,” said another. “Ever since he butchered that Dunlending at Erelas, it’s been clear he had something to hide.” “But to betray the oaths of fealty,” said Éomund, twisting his hand on the bronzed grip of his sword. “This is foul treason. Come, soldiers. Where is Gálmód Worm-heart? Gúthwinë thirsts for the wretch’s ignoble blood.” Just then, a man of the marshall’s éored burst into the room. “My lord! The traitor slipped his guards in the night. There is no sign of him among the townsfolk.”		
54329e02-76ff-4e12-b4d4-56b06532a0a7	Fire on the Eastemnet 1	54329e02-76ff-4e12-b4d4-56b06532a0a7.B.jpg	multi_sided	Rules	ALeP - Fire on the Eastemnet	1	4eff45c3-8435-438f-bbbf-633483645dc6	0.3	Fire on the Eastemnet																	
f28e770b-16e1-4d21-872f-6a5791df8195	Fire on the Eastemnet 2	f28e770b-16e1-4d21-872f-6a5791df8195.jpg	multi_sided	Rules	ALeP - Fire on the Eastemnet	1	4eff45c3-8435-438f-bbbf-633483645dc6	0.4	Fire on the Eastemnet														Page 3/8	Éomund grimaced, a red rage climbing his neck. “Is there no end to our misfortune? Take half a hundred horses. Scatter far and wide. Scour the country, from the Entwash to the Anduin. Devilry dare not rest while the men of Rohan are abroad.” “We will soon depart,” said one of the heroes. “But first we must speak with Ealdwulf, your advisor. He swore to tell us of the sign of the white horse on a red field. It has been seen among the traitorous Rohirrim who attacked us at the beacon and amid the city streets.” Ealdwulf bowed slightly. He was an old man, though with a royal bearing. He had the broad shoulders of a warrior, and remained unbent in his old age. “That sigil is well-known in Aldburg,” he said. “For it was the coat of arms of Haleth, princely son of Helm Hammerhand. He was well-loved by the men here. They still celebrate his valour in the Old War against Dunland. When he died…” Ealdwulf paused. “When he and his brother perished, the line of succession was broken. And so the crown of Rohan passed to the grandfathers of Thengel-king.” “Could it be Gálmód and his men seek to restore the line of Haleth?” said a hero.		
f28e770b-16e1-4d21-872f-6a5791df8195	Fire on the Eastemnet 2	f28e770b-16e1-4d21-872f-6a5791df8195.B.jpg	multi_sided	Rules	ALeP - Fire on the Eastemnet	1	4eff45c3-8435-438f-bbbf-633483645dc6	0.4	Fire on the Eastemnet																	
f032916a-93e9-4e7b-8533-772ddd13dc75	Fire on the Eastemnet 3	f032916a-93e9-4e7b-8533-772ddd13dc75.jpg	multi_sided	Rules	ALeP - Fire on the Eastemnet	1	4eff45c3-8435-438f-bbbf-633483645dc6	0.5	Fire on the Eastemnet														Page 4/8	“Impossible,” said Éomund. “The bloodline of Haleth has withered. Or so it is said.” “Nothing is impossible, my lord,” said Ealdwulf. “For brother is set against brother, and blood turns against blood. Every oath of Man is at hazard.” “Go, my friends,” said Éomund. “Ride for the Eastemnet. Prove yourselves upon this oath of oaths. Find Gálmód. Find him and bring him back.” And so the heroes rode, day upon day, wills bound to the promise of justice. Their oath propelled them ever forward, through gale and pulse of heat. They visited the hamlets of decent folk – horse-breeders and plowmen, laborers who smelt of salt and straw and took their meals with a smile. Many such villages did the heroes visit, and each offered the same unanswerable question. “How many would see their king deposed? How many would betray their people in the name of some faithless usurper?” As they journeyed, this uncertainty grew. Each village seemed a little grayer, a little less kindly. They slept little, and when they did it was roughly, in empty fields or in the stables amid the nickering of half-broken geldings and dark-eyed mares. It was on one such night, looking outward on the endless plains, that they spotted a familiar glow in the distance. Against the purple curtain of dusk, a hand		
f032916a-93e9-4e7b-8533-772ddd13dc75	Fire on the Eastemnet 3	f032916a-93e9-4e7b-8533-772ddd13dc75.B.jpg	multi_sided	Rules	ALeP - Fire on the Eastemnet	1	4eff45c3-8435-438f-bbbf-633483645dc6	0.5	Fire on the Eastemnet																	
49f198db-c305-41a3-8d0b-7438fe59e14a	Fire on the Eastemnet 4	49f198db-c305-41a3-8d0b-7438fe59e14a.jpg	multi_sided	Rules	ALeP - Fire on the Eastemnet	1	4eff45c3-8435-438f-bbbf-633483645dc6	0.6	Fire on the Eastemnet														Page 5/8	of fire rose up, and with it the smell of smoke and burnt grass. And something fouler still, something they recognized at once. “Orcs,” said one of the heroes. “The scattered host has been made whole.” “Then we shall unmake them,” said another. “Fire on the Eastemnet” is played with an encounter deck built with all the cards from the following encounter sets: Fire on the Eastemnet and Orc-host. (Orc-host can be found in the Children of Eorl deluxe expansion.) These sets are indicated by the following icons:		
49f198db-c305-41a3-8d0b-7438fe59e14a	Fire on the Eastemnet 4	49f198db-c305-41a3-8d0b-7438fe59e14a.B.jpg	multi_sided	Rules	ALeP - Fire on the Eastemnet	1	4eff45c3-8435-438f-bbbf-633483645dc6	0.6	Fire on the Eastemnet																	
