databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	side
980ca6a0-0bd3-45c0-b4c9-24e217339611	The Gap of Rohan Rules	980ca6a0-0bd3-45c0-b4c9-24e217339611.jpg	multi_sided	Rules	ALeP - The Gap of Rohan	1	535a1083-330f-4bc5-a1bb-64c364da9e0a	0.2	The Gap of Rohan														Page 1/8	Welcome to The Gap of Rohan, an unofficial fan Adventure Pack, developed by A Long-extended Party (ALeP). In this expansion, the heroes must pursue the traitor Gálmód to the Gap of Rohan before he makes his escape. Component Overview The Gap of Rohan Adventure Pack includes 70 cards, consisting of:  • 4 Rules Cards • 29 Encounter Cards  • 3 Hero Cards • 4 Quest Cards  • 30 Player Cards Web Resources You can check for any updates from A Long-extended Party at www.alongextendedparty.com. You can build decks and track your plays of these scenarios and others online through RingsDB at www.ringsdb.com. For general rules and definitions of common game terms, visit the Quest Companion at bit.ly/2MKkak9.		
980ca6a0-0bd3-45c0-b4c9-24e217339611	The Gap of Rohan Rules	980ca6a0-0bd3-45c0-b4c9-24e217339611.B.jpg	multi_sided	Rules	ALeP - The Gap of Rohan	1	535a1083-330f-4bc5-a1bb-64c364da9e0a	0.2	The Gap of Rohan																	
0f74724d-6520-4f44-9a32-e784d8c8ff8f	The Gap of Rohan 1	0f74724d-6520-4f44-9a32-e784d8c8ff8f.jpg	multi_sided	Rules	ALeP - The Gap of Rohan	1	535a1083-330f-4bc5-a1bb-64c364da9e0a	0.3	The Gap of Rohan														Page 2/8	Expansion Symbol The cards in the Oaths of the Rohirrim cycle can be identified by this symbol before each card’s collector number. The Gap of Rohan Difficulty level = 6 They rode west at once, fording at the Entwade, their faces grim, their steeds panting. After his treachery at Aldburg, the coward Gálmód had fled into the countryside, traveling by night to escape Rohan and the wrath of the marshal, lord Éomund. Now he had been spotted crossing the Snowbourn, only some days ahead, as he broke across the hills of the Westfold for the Gap of Rohan and the wilderness beyond. “He shall not escape,” said one of the heroes. “He shall answer for his treason.” “Such was our oath,” said another. Here and there the landscape became hilly and steep before opening to vast fields of grass and long, wide valleys. A cool air swept up from the White Mountains		
0f74724d-6520-4f44-9a32-e784d8c8ff8f	The Gap of Rohan 1	0f74724d-6520-4f44-9a32-e784d8c8ff8f.B.jpg	multi_sided	Rules	ALeP - The Gap of Rohan	1	535a1083-330f-4bc5-a1bb-64c364da9e0a	0.3	The Gap of Rohan																	
d60f443c-4613-40dd-a9c6-13abfe7536a8	The Gap of Rohan 2	d60f443c-4613-40dd-a9c6-13abfe7536a8.jpg	multi_sided	Rules	ALeP - The Gap of Rohan	1	535a1083-330f-4bc5-a1bb-64c364da9e0a	0.4	The Gap of Rohan														Page 3/8	in the distant south. The riders did not stop. They did not stop when the road grew violet and dusky, nor when the sun fell behind the Hornburg and drenched the land in shadow. They did not stop for the patrolling éored riding by torchlight, for the heroes knew among themselves that Gálmód’s conspiracy was more enormous than they had yet seen, a great web spanning the armies of Rohan and her royal halls, from the west and the east, from without and within. A soldier of the Rohirrim hailed the heroes and they rode on, silent as shadows. It was three days before they found his trail, some miles past the great fortress at Helm’s Deep where the king of old had waged bitter war against the Dunlendings. Three days of tireless vigil, of stomachs empty as stones, of aching thighs, of horses with eyes black as marbles and wild as a nightmare. As they rode it felt as if seasons passed; the warm weather which they had enjoyed so well now faded with every hoofbeat. Summer was gone, then autumn, and they could feel upon the air a great stillness, and dread accumulated among them for each could feel the building of a cold storm, a cruel storm, a ragged and vicious blizzard awaiting them.		
d60f443c-4613-40dd-a9c6-13abfe7536a8	The Gap of Rohan 2	d60f443c-4613-40dd-a9c6-13abfe7536a8.B.jpg	multi_sided	Rules	ALeP - The Gap of Rohan	1	535a1083-330f-4bc5-a1bb-64c364da9e0a	0.4	The Gap of Rohan																	
ef4cb775-ef4a-4f5a-bcda-2a526a3c404f	The Gap of Rohan 3	ef4cb775-ef4a-4f5a-bcda-2a526a3c404f.jpg	multi_sided	Rules	ALeP - The Gap of Rohan	1	535a1083-330f-4bc5-a1bb-64c364da9e0a	0.5	The Gap of Rohan														Page 4/8	There was no further warning. The storm closed upon them like a great white mouth, buffeting them, threatening to tear the very cloaks from their shoulders. The snow fell in an incredible white haze such that each hero could not see the nose of his own horse. “Gálmód has no care for himself,” shouted a hero. “He rides to his death.” “This is no ordinary storm,” said another. “He is driven by terror.” Onward and on, and soon they found themselves in the great Gap of Rohan. Behind them lay the wide gorgeous lands of the Horse-lords, to the left the White Mountains, to the right the Misty Mountains from which oft descended goblins and hungry orcs. Ahead lay Dunland, where Gálmód would surely find shelter amid his confederates. Within the hour the snow had risen to their knees. Some miles before them in the distance, the traitor ran fleetingly into the cold and sudden white. “Ride on,” said a hero. “After you,” replied another. “For oath and honor.”		
ef4cb775-ef4a-4f5a-bcda-2a526a3c404f	The Gap of Rohan 3	ef4cb775-ef4a-4f5a-bcda-2a526a3c404f.B.jpg	multi_sided	Rules	ALeP - The Gap of Rohan	1	535a1083-330f-4bc5-a1bb-64c364da9e0a	0.5	The Gap of Rohan																	
9d9c47d5-dceb-4799-993c-25c9c3f18253	The Gap of Rohan 4	9d9c47d5-dceb-4799-993c-25c9c3f18253.jpg	multi_sided	Rules	ALeP - The Gap of Rohan	1	535a1083-330f-4bc5-a1bb-64c364da9e0a	0.6	The Gap of Rohan														Page 5/8	“The Gap of Rohan” is played with an encounter deck built with all the cards from the following encounter sets: The Gap of Rohan, Faithless Rohirrim, and Rohan Weather. (Faithless Rohirrim and Rohan Weather can be found in the Children of Eorl deluxe expansion.) These sets are indicated by the following icons: Frostbite X Frostbite is a new keyword in The Gap of Rohan. The frostbite keyword represents the effects of the worsening storm, as the heroes struggle to press onward despite lacking the proper provisions. When a card with the frostbite keyword is in play, each player must exhaust X characters at the beginning of the round, where X is that card’s frostbite value.		
9d9c47d5-dceb-4799-993c-25c9c3f18253	The Gap of Rohan 4	9d9c47d5-dceb-4799-993c-25c9c3f18253.B.jpg	multi_sided	Rules	ALeP - The Gap of Rohan	1	535a1083-330f-4bc5-a1bb-64c364da9e0a	0.6	The Gap of Rohan																	
